soil_property,prep_transform,train,prep_spectra,components,n,rmse,bias,rsq,ccc,rpd,rpiq
carbon_org_perc,logTransform,CT-KSSL,BOC,30,14969,0.4348816838623049,-4.617511573477067e-4,0.9480865803318923,0.9733706229807645,4.389067272439959,5.872630685645488
carbon_org_perc,logTransform,CT-KSSL,raw,30,14969,0.4339824627530796,-5.610538778228298e-4,0.9483012171022883,0.97348599013676,4.398161515364318,5.884798904254407
carbon_org_perc,logTransform,CT-KSSL,SG1stDer,30,14969,0.40701163466824364,-3.084163617499112e-4,0.9545281119702965,0.976761237004541,4.6896078722158165,6.274758025914033
carbon_org_perc,logTransform,CT-KSSL,SNV,30,14969,0.430696450977235,-4.055220449272019e-4,0.9490810615393104,0.9738953964520374,4.4317174234725965,5.929697157894485
carbon_org_perc,logTransform,CT-KSSL,SNVplusSG1stDer,30,14969,0.40597553213843374,-6.427119242177265e-4,0.9547603079430286,0.9768899020602458,4.701576363406962,6.290772027128218
carbon_org_perc,logTransform,CT-KSSL,SST,30,14969,0.430696450977235,-4.055220449272019e-4,0.9490810615393104,0.9738953964520374,4.4317174234725965,5.929697157894485
carbon_org_perc,logTransform,CT-KSSL,wavelet,30,14969,0.41221886604849856,-3.9185817851025955e-4,0.9533570176465267,0.9761473055302625,4.630367805143244,6.195494024221782
clay_perc,withoutTransform,CT-KSSL,BOC,30,14888,5.924924377178389,-4.8682873214104996e-4,0.8564422406822362,0.9229397750250659,2.6392575602695016,3.745617426862194
clay_perc,withoutTransform,CT-KSSL,raw,30,14888,5.8504370302878685,-0.0012468355653994163,0.8600250402691662,0.9249590935811439,2.6728603992381914,3.7933063607229407
clay_perc,withoutTransform,CT-KSSL,SG1stDer,30,14888,5.343700232805744,0.0014254653596465095,0.8832385457940476,0.938282178480849,2.926324601910278,4.1530211338871625
clay_perc,withoutTransform,CT-KSSL,SNV,30,14888,5.992026214373895,-0.0039933294264557296,0.8531689909453066,0.9210110253402592,2.6097017765011694,3.7036720478231238
clay_perc,withoutTransform,CT-KSSL,SNVplusSG1stDer,30,14888,5.451835490583916,0.0020705727736712713,0.878469016969154,0.9356265751093669,2.868281972833024,4.070647406424784
clay_perc,withoutTransform,CT-KSSL,SST,30,14888,5.992026214373895,-0.0039933294264557296,0.8531689909453066,0.9210110253402592,2.6097017765011694,3.7036720478231238
clay_perc,withoutTransform,CT-KSSL,wavelet,30,14888,5.386768537658335,0.004523450291870224,0.8813477789235561,0.9372151174750148,2.90292804436903,4.119816889263862
pH_H20,withoutTransform,CT-KSSL,BOC,30,15000,0.5624565158487208,-3.9908949026125763e-4,0.8113307021331262,0.8961378344938536,2.3022573375201936,3.804738570360126
pH_H20,withoutTransform,CT-KSSL,raw,30,15000,0.5677614774876677,-4.04622550394655e-5,0.8077521659097987,0.893910479803499,2.2807458624680774,3.7691884441851418
pH_H20,withoutTransform,CT-KSSL,SG1stDer,30,15000,0.5152743849214307,2.680857907117639e-4,0.8416609421669882,0.9143106645830982,2.513068141056945,4.1531270768026
pH_H20,withoutTransform,CT-KSSL,SNV,30,15000,0.5621533456277147,-1.61526324741469e-4,0.8115324293172106,0.8962329111360475,2.3034989486771096,3.8067904721093875
pH_H20,withoutTransform,CT-KSSL,SNVplusSG1stDer,30,15000,0.5210666753299575,2.0868305449536602e-4,0.8380849873139374,0.9122519801000945,2.4851323294255434,4.106960013600711
pH_H20,withoutTransform,CT-KSSL,SST,30,15000,0.5621533456277147,-1.61526324741469e-4,0.8115324293172106,0.8962329111360475,2.3034989486771096,3.8067904721093875
pH_H20,withoutTransform,CT-KSSL,wavelet,30,15000,0.524302060398689,1.9438435467659373e-4,0.8360651083895179,0.9110294970548433,2.4697969709752425,4.081616613088844
potassium_cmolkg,logTransform,CT-KSSL,BOC,30,15000,0.6784100748164487,-1.6784630213959202e-4,0.6305432194631475,0.7745123061176964,1.6451959917201984,2.1542764371786394
potassium_cmolkg,logTransform,CT-KSSL,raw,30,15000,0.6755481401488921,-5.9856047554507814e-5,0.6336517296071017,0.7767864214750396,1.652165803586739,2.163402949491593
potassium_cmolkg,logTransform,CT-KSSL,SG1stDer,30,15000,0.6447989725179495,-4.7972515214592674e-4,0.6663197000509459,0.801622827549443,1.7309542716424715,2.2665712899860266
potassium_cmolkg,logTransform,CT-KSSL,SNV,30,15000,0.6712409788908907,-2.3500607355524412e-4,0.6383440649929427,0.7808633826396197,1.6627672787123513,2.177284887070691
potassium_cmolkg,logTransform,CT-KSSL,SNVplusSG1stDer,30,15000,0.6412484822248979,-2.4068958179603267e-4,0.6700209009132062,0.8045573295451015,1.7405382886180114,2.2791209327324435
potassium_cmolkg,logTransform,CT-KSSL,SST,30,15000,0.6712409788908907,-2.3500607355524412e-4,0.6383440649929427,0.7808633826396197,1.6627672787123513,2.177284887070691
potassium_cmolkg,logTransform,CT-KSSL,wavelet,30,15000,0.6527863519868706,-3.775845996706842e-4,0.6579830788293675,0.7954825934950807,1.7097746183472131,2.238837920666374
