soil_property,prep_transform,train,prep_spectra,committees,neighbors,n,rmse,bias,rsq,ccc,rpd,rpiq
carbon_org_perc,logTransform,CT-KSSL,BOC,100,5,14969,0.31170249056153515,-0.014792217255546072,0.9734959274673557,0.9863466029589484,6.123547369111611,8.19338824233992
carbon_org_perc,logTransform,CT-KSSL,raw,100,5,14969,0.3112892753765801,-0.016673191280569533,0.9736058518045148,0.9863691672969227,6.131675958686846,8.204264403858403
carbon_org_perc,logTransform,CT-KSSL,SG1stDer,100,5,14969,0.30518211635863396,-0.017318853155998678,0.9746391200137656,0.9869092882027922,6.254380134714683,8.368444231750932
carbon_org_perc,logTransform,CT-KSSL,SNV,100,5,14969,0.30174574199791054,-0.011575611367680014,0.9751175237802424,0.9872367456853575,6.32560696096531,8.463746677468068
carbon_org_perc,logTransform,CT-KSSL,SNVplusSG1stDer,100,5,14969,0.30720962859193035,-0.016073693763596533,0.9742848735793876,0.9867335195671643,6.213102677712631,8.313214442465677
carbon_org_perc,logTransform,CT-KSSL,SST,100,5,14969,0.301766063735161,-0.01154195976347581,0.9751136032124499,0.9872352524088509,6.325180977602503,8.463176706033886
carbon_org_perc,logTransform,CT-KSSL,wavelet,100,9,14969,0.2635104168021081,-0.004666219591603598,0.9809719603244924,0.9903283698612231,7.243451660042136,9.691835155013578
clay_perc,withoutTransform,CT-KSSL,BOC,100,5,14888,3.9135681795200687,-0.012651816178443525,0.9375335720302457,0.96724415868136,3.9956890334310766,5.670656286540415
clay_perc,withoutTransform,CT-KSSL,raw,100,5,14888,3.8984711459321395,0.004910300265024778,0.9380106821505088,0.9675102046895284,4.011162548377461,5.692616199854851
clay_perc,withoutTransform,CT-KSSL,SG1stDer,100,5,14888,3.745811448352138,0.03005154044042585,0.9427283644857101,0.9701526192418893,4.17463656996734,5.924617484353879
clay_perc,withoutTransform,CT-KSSL,SNV,100,5,14888,3.9269489215683326,-0.005308998013330631,0.9370871419073458,0.9670338502068501,3.9820740653402606,5.651334011020656
clay_perc,withoutTransform,CT-KSSL,SNVplusSG1stDer,100,5,14888,3.7086459334376034,-0.0030229335192597066,0.9438876853246857,0.9707199798128824,4.216471924565364,5.983989951672043
clay_perc,withoutTransform,CT-KSSL,SST,100,5,14888,3.9247595498069887,-0.006171306824728993,0.9371574547829683,0.967071836697997,3.9842954091957496,5.65448652799415
clay_perc,withoutTransform,CT-KSSL,wavelet,100,5,14888,3.671012463593557,0.04190397282721537,0.9449291219138533,0.9714889491576222,4.2596971847885525,6.045334964152028
pH_H20,withoutTransform,CT-KSSL,BOC,100,5,15000,0.38510107532252225,4.0559268887837646e-4,0.9115802694222673,0.9534797721412425,3.3625448580330977,5.556982665415175
pH_H20,withoutTransform,CT-KSSL,raw,100,5,15000,0.3888267764506778,0.0045259660332997624,0.9098776003407275,0.9525126076976638,3.330325273555389,5.503736186932733
pH_H20,withoutTransform,CT-KSSL,SG1stDer,100,5,15000,0.35593202401907514,-5.789898306528738e-4,0.9244500167422678,0.9608439635385695,3.6381093952348786,6.012383982300262
pH_H20,withoutTransform,CT-KSSL,SNV,100,5,15000,0.36827123530316325,8.226650485992414e-4,0.9191184474344829,0.9577569918737054,3.5162117388363976,5.810934427822846
pH_H20,withoutTransform,CT-KSSL,SNVplusSG1stDer,100,5,15000,0.3557142498502237,-6.127940883636485e-4,0.9245424742803693,0.9608937669852982,3.640336706201677,6.016064863583799
pH_H20,withoutTransform,CT-KSSL,SST,100,5,15000,0.3682341560359933,8.386962184905988e-4,0.9191346012426531,0.9577672629242837,3.516565803097828,5.811519558741922
pH_H20,withoutTransform,CT-KSSL,wavelet,100,5,15000,0.33699932900620816,-4.492201557159438e-4,0.9322711260648203,0.9648747041743275,3.842499165999553,6.3501610116279394
potassium_cmolkg,logTransform,CT-KSSL,BOC,100,5,15000,0.5243713774898628,-0.017436627890140985,0.7795329257511714,0.8752748350113997,2.1284867628996373,2.787114060110816
potassium_cmolkg,logTransform,CT-KSSL,raw,100,5,15000,0.5319131717994487,-0.018665534434799687,0.7731416400646535,0.8718454910894594,2.0983077596195345,2.74759663118985
potassium_cmolkg,logTransform,CT-KSSL,SG1stDer,100,5,15000,0.5072461342009499,-0.01928016239501059,0.7938524758742945,0.8836425086181521,2.2003470516119545,2.8812104033555714
potassium_cmolkg,logTransform,CT-KSSL,SNV,100,5,15000,0.5239921146136198,-0.01266189828592613,0.7797094721348679,0.8764189692711127,2.1300273509910017,2.789131359351349
potassium_cmolkg,logTransform,CT-KSSL,SNVplusSG1stDer,100,5,15000,0.5118513120677107,-0.020097145153460085,0.7900581392720449,0.8816040665351865,2.1805503073184958,2.855287862832204
potassium_cmolkg,logTransform,CT-KSSL,SST,100,5,15000,0.5239658868351155,-0.012623494786799696,0.7797307924385793,0.8764337446487301,2.130133972217638,2.789270972866943
potassium_cmolkg,logTransform,CT-KSSL,wavelet,100,9,15000,0.5099455924098298,-0.012743530921913026,0.7914291431465289,0.882549174076812,2.1886992503577276,2.865958370215931
